month,country,know_ini,ambig_ini,day,date,jul_start_date,jul_end_date,day_span,n_injurd,tar_gpol,event,posthoc,ev_type,linked,loc_type,ad_viol,weap_grd,n_killed_a,e_length,n_injurd_d,dam_prop,arrests,per_atk_i,per_atk_e,pub_order,retribution,sc_animosity,anti_gov_sentmnts,class_conflict,pol_desires,retain_power,eco_scarcity,pers_security,coup,coup_failed,region,weapon,duration,s_month,s_day,weekday
6,NA,1,FALSE,17,6/17/1984,14405,14419,15,0,FALSE,TRUE,FALSE,4,FALSE,25,FALSE,5,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,22,2,6,9,7
6,NA,5,FALSE,9,6/9/1984,14276,14503,228,0,FALSE,TRUE,FALSE,4,FALSE,25,FALSE,5,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,23,3,2,1,4
7,NA,1,FALSE,16,7/16/1985,14611,14976,366,0,FALSE,TRUE,FALSE,2,FALSE,24,FALSE,4,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,10,3,1,1,3
4,NA,1,FALSE,16,4/16/1986,15066,15095,30,0,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,3,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,14,2,4,1,3
12,NA,1,FALSE,13,12/13/1987,15684,15690,7,0,FALSE,TRUE,FALSE,1,FALSE,2,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,12,10,5
12,NA,1,FALSE,13,12/13/1987,15684,15690,7,0,FALSE,TRUE,FALSE,1,FALSE,18,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,12,10,5
12,NA,1,FALSE,9,12/9/1987,15680,15686,7,0,FALSE,TRUE,FALSE,4,FALSE,25,FALSE,5,12,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,23,1,12,6,1
4,NA,0,FALSE,21,4/21/1988,15813,15818,6,0,FALSE,TRUE,FALSE,2,FALSE,27,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,4,17,1
7,NA,1,FALSE,16,7/16/1988,15887,15917,31,0,FALSE,TRUE,FALSE,4,FALSE,24,FALSE,5,290,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,3,6,30,5
9,NA,1,FALSE,14,9/14/1989,16325,16333,9,0,FALSE,TRUE,FALSE,NA,FALSE,27,FALSE,1,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,9,11,2
